IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8
Tie_Probe	LightBlue_Probe	Bar_Probe	Rabbit_Probe	Crowbar_Probe	DarkGreen_Probe	Jellyfish_Probe
Tie_Probe	LightBlue_Probe	Bar_Probe	Rabbit_Probe	Crowbar_Probe	DarkGreen_Probe	Jellyfish_Probe
Tie_Probe	LightBlue_Probe	Bar_Probe	Rabbit_Probe	Crowbar_Probe	DarkGreen_Probe	Jellyfish_Probe
Background	Background	Background	Background	Background	Background	Background
Tie_Choice	LightBlue_Choice	Bar_Choice	Rabbit_Choice	Crowbar_Choice	DarkGreen_Choice	Jellyfish_Choice
DarkGreen_Probe	Diamond_Probe	Star_Probe	DarkTurquiose_Probe	UpArrow_Probe	Stickyhand_Probe	LightTurquiose_Probe
DarkGreen_Probe	Diamond_Probe	Star_Probe	DarkTurquiose_Probe	UpArrow_Probe	Stickyhand_Probe	LightTurquiose_Probe
DarkGreen_Probe	Diamond_Probe	Star_Probe	DarkTurquiose_Probe	UpArrow_Probe	Stickyhand_Probe	LightTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background
DarkGreen_Choice	Diamond_Choice	Star_Choice	DarkTurquiose_Choice	UpArrow_Choice	Stickyhand_Choice	LightTurquiose_Choice
Lock_Probe	Star_Probe	LightBlue_Probe	Jellyfish_Probe	DarkYellow_Probe	Bar_Probe	Puzzle_Probe
Lock_Probe	Star_Probe	LightBlue_Probe	Jellyfish_Probe	DarkYellow_Probe	Bar_Probe	Puzzle_Probe
Lock_Probe	Star_Probe	LightBlue_Probe	Jellyfish_Probe	DarkYellow_Probe	Bar_Probe	Puzzle_Probe
Background	Background	Background	Background	Background	Background	Background
Lock_Choice	Star_Choice	LightBlue_Choice	Jellyfish_Choice	DarkYellow_Choice	Bar_Choice	Puzzle_Choice
Gem_Probe	DarkGray_Probe	UpArrow_Probe	Dodecagon_Probe	Gem_Probe	DarkYellow_Probe	Ditto_Probe
Gem_Probe	DarkGray_Probe	UpArrow_Probe	Dodecagon_Probe	Gem_Probe	DarkYellow_Probe	Ditto_Probe
Gem_Probe	DarkGray_Probe	UpArrow_Probe	Dodecagon_Probe	Gem_Probe	DarkYellow_Probe	Ditto_Probe
Background	Background	Background	Background	Background	Background	Background
Gem_Choice	DarkGray_Choice	UpArrow_Choice	Dodecagon_Choice	Gem_Choice	DarkYellow_Choice	Ditto_Choice
DarkYellow_Probe	Lock_Probe	Ditto_Probe	LightPurple_Probe	Rabbit_Probe	Star_Probe	LightGray_Probe
DarkYellow_Probe	Lock_Probe	Ditto_Probe	LightPurple_Probe	Rabbit_Probe	Star_Probe	LightGray_Probe
DarkYellow_Probe	Lock_Probe	Ditto_Probe	LightPurple_Probe	Rabbit_Probe	Star_Probe	LightGray_Probe
Background	Background	Background	Background	Background	Background	Background
DarkYellow_Choice	Lock_Choice	Ditto_Choice	LightPurple_Choice	Rabbit_Choice	Star_Choice	LightGray_Choice
Sawblade_Probe	Bell_Probe	DarkGreen_Probe	Bell_Probe	DarkBlue_Probe	Spike_Probe	Sawblade_Probe
Sawblade_Probe	Bell_Probe	DarkGreen_Probe	Bell_Probe	DarkBlue_Probe	Spike_Probe	Sawblade_Probe
Sawblade_Probe	Bell_Probe	DarkGreen_Probe	Bell_Probe	DarkBlue_Probe	Spike_Probe	Sawblade_Probe
Background	Background	Background	Background	Background	Background	Background
Sawblade_Choice	Bell_Choice	DarkGreen_Choice	Bell_Choice	DarkBlue_Choice	Spike_Choice	Sawblade_Choice
Heart_Probe	DarkGreen_Probe	Diamond_Probe	Nail_Probe	Star_Probe	DarkRed_Probe	Chevron_Probe
Heart_Probe	DarkGreen_Probe	Diamond_Probe	Nail_Probe	Star_Probe	DarkRed_Probe	Chevron_Probe
Heart_Probe	DarkGreen_Probe	Diamond_Probe	Nail_Probe	Star_Probe	DarkRed_Probe	Chevron_Probe
Background	Background	Background	Background	Background	Background	Background
Heart_Choice	DarkGreen_Choice	Diamond_Choice	Nail_Choice	Star_Choice	DarkRed_Choice	Chevron_Choice
LightYellow_Probe	Nail_Probe	Bell_Probe	DarkGray_Probe	Diamond_Probe	Heart_Probe	DarkRed_Probe
LightYellow_Probe	Nail_Probe	Bell_Probe	DarkGray_Probe	Diamond_Probe	Heart_Probe	DarkRed_Probe
LightYellow_Probe	Nail_Probe	Bell_Probe	DarkGray_Probe	Diamond_Probe	Heart_Probe	DarkRed_Probe
Background	Background	Background	Background	Background	Background	Background
LightYellow_Choice	Nail_Choice	Bell_Choice	DarkGray_Choice	Diamond_Choice	Heart_Choice	DarkRed_Choice
Rabbit_Probe	House_Probe	LightYellow_Probe	Stickyhand_Probe	LightGray_Probe	Rabbit_Probe	Hourglass_Probe
Rabbit_Probe	House_Probe	LightYellow_Probe	Stickyhand_Probe	LightGray_Probe	Rabbit_Probe	Hourglass_Probe
Rabbit_Probe	House_Probe	LightYellow_Probe	Stickyhand_Probe	LightGray_Probe	Rabbit_Probe	Hourglass_Probe
Background	Background	Background	Background	Background	Background	Background
Rabbit_Choice	House_Choice	LightYellow_Choice	Stickyhand_Choice	LightGray_Choice	Rabbit_Choice	Hourglass_Choice
Pacman_Probe	LightGray_Probe	Dodecagon_Probe	UpArrow_Probe	Jellyfish_Probe	LightTurquiose_Probe	Bell_Probe
Pacman_Probe	LightGray_Probe	Dodecagon_Probe	UpArrow_Probe	Jellyfish_Probe	LightTurquiose_Probe	Bell_Probe
Pacman_Probe	LightGray_Probe	Dodecagon_Probe	UpArrow_Probe	Jellyfish_Probe	LightTurquiose_Probe	Bell_Probe
Background	Background	Background	Background	Background	Background	Background
Pacman_Choice	LightGray_Choice	Dodecagon_Choice	UpArrow_Choice	Jellyfish_Choice	LightTurquiose_Choice	Bell_Choice
LightGreen_Probe	Dodecagon_Probe	Gem_Probe	LightGreen_Probe	Spade_Probe	Tie_Probe	DarkGreen_Probe
LightGreen_Probe	Dodecagon_Probe	Gem_Probe	LightGreen_Probe	Spade_Probe	Tie_Probe	DarkGreen_Probe
LightGreen_Probe	Dodecagon_Probe	Gem_Probe	LightGreen_Probe	Spade_Probe	Tie_Probe	DarkGreen_Probe
Background	Background	Background	Background	Background	Background	Background
LightGreen_Choice	Dodecagon_Choice	Gem_Choice	LightGreen_Choice	Spade_Choice	Tie_Choice	DarkGreen_Choice
Hourglass_Probe	LeftArrow_Probe	DarkRed_Probe	Crowbar_Probe	LightYellow_Probe	Nail_Probe	Rabbit_Probe
Hourglass_Probe	LeftArrow_Probe	DarkRed_Probe	Crowbar_Probe	LightYellow_Probe	Nail_Probe	Rabbit_Probe
Hourglass_Probe	LeftArrow_Probe	DarkRed_Probe	Crowbar_Probe	LightYellow_Probe	Nail_Probe	Rabbit_Probe
Background	Background	Background	Background	Background	Background	Background
Hourglass_Choice	LeftArrow_Choice	DarkRed_Choice	Crowbar_Choice	LightYellow_Choice	Nail_Choice	Rabbit_Choice
LeftArrow_Probe	LightGreen_Probe	Sawblade_Probe	Puzzle_Probe	Tie_Probe	LightGreen_Probe	Crowbar_Probe
LeftArrow_Probe	LightGreen_Probe	Sawblade_Probe	Puzzle_Probe	Tie_Probe	LightGreen_Probe	Crowbar_Probe
LeftArrow_Probe	LightGreen_Probe	Sawblade_Probe	Puzzle_Probe	Tie_Probe	LightGreen_Probe	Crowbar_Probe
Background	Background	Background	Background	Background	Background	Background
LeftArrow_Choice	LightGreen_Choice	Sawblade_Choice	Puzzle_Choice	Tie_Choice	LightGreen_Choice	Crowbar_Choice
DarkTurquiose_Probe	Bar_Probe	Heart_Probe	DarkGreen_Probe	Bar_Probe	Gem_Probe	DarkBlue_Probe
DarkTurquiose_Probe	Bar_Probe	Heart_Probe	DarkGreen_Probe	Bar_Probe	Gem_Probe	DarkBlue_Probe
DarkTurquiose_Probe	Bar_Probe	Heart_Probe	DarkGreen_Probe	Bar_Probe	Gem_Probe	DarkBlue_Probe
Background	Background	Background	Background	Background	Background	Background
DarkTurquiose_Choice	Bar_Choice	Heart_Choice	DarkGreen_Choice	Bar_Choice	Gem_Choice	DarkBlue_Choice
UpArrow_Probe	Chevron_Probe	DarkBlue_Probe	Tie_Probe	LightBlue_Probe	Puzzle_Probe	UpArrow_Probe
UpArrow_Probe	Chevron_Probe	DarkBlue_Probe	Tie_Probe	LightBlue_Probe	Puzzle_Probe	UpArrow_Probe
UpArrow_Probe	Chevron_Probe	DarkBlue_Probe	Tie_Probe	LightBlue_Probe	Puzzle_Probe	UpArrow_Probe
Background	Background	Background	Background	Background	Background	Background
UpArrow_Choice	Chevron_Choice	DarkBlue_Choice	Tie_Choice	LightBlue_Choice	Puzzle_Choice	UpArrow_Choice
Star_Probe	DarkBlue_Probe	Hat_Probe	Hourglass_Probe	Bell_Probe	LightRed_Probe	Gem_Probe
Star_Probe	DarkBlue_Probe	Hat_Probe	Hourglass_Probe	Bell_Probe	LightRed_Probe	Gem_Probe
Star_Probe	DarkBlue_Probe	Hat_Probe	Hourglass_Probe	Bell_Probe	LightRed_Probe	Gem_Probe
Background	Background	Background	Background	Background	Background	Background
Star_Choice	DarkBlue_Choice	Hat_Choice	Hourglass_Choice	Bell_Choice	LightRed_Choice	Gem_Choice
DarkRed_Probe	Spike_Probe	Stickyhand_Probe	LightBlue_Probe	Lock_Probe	Ditto_Probe	LightBlue_Probe
